Episode,Reward,Loss,BMI,Glucose
1,196.63725818591675,4.808704853057861,22.034200000000006,73.3567
2,194.65576717465697,4.93172025680542,22.012800000000006,72.84189999999998
3,182.66478538925261,4.726385593414307,21.99420000000001,72.3861
4,192.64992186875833,4.836993217468262,22.003600000000006,72.61949999999999
5,174.63732121402992,3.3628385066986084,21.98250000000001,72.0689
6,182.64465143562876,3.5988121032714844,21.993900000000004,72.3625
7,182.63400423005444,3.876553773880005,21.987300000000005,72.19059999999999
8,192.6364380375453,4.325572967529297,22.016600000000007,72.93939999999999
9,161.41726073616633,2.7299365997314453,21.936700000000005,70.9394
10,170.66433807178623,2.776761531829834,21.96140000000001,71.55680000000001
11,172.65743244022778,3.0406267642974854,21.968200000000007,71.73
12,182.67740348016656,2.331984519958496,21.977800000000006,71.986
13,192.6408686671112,2.5957822799682617,22.0301,73.2509
14,165.41943357028333,1.9091572761535645,21.94120000000001,71.0497
15,184.63961108774043,1.4574437141418457,21.998300000000008,72.4531
16,161.39937346676464,1.7726483345031738,21.92600000000001,70.65559999999999
17,170.64408783748257,1.9421043395996094,21.960300000000007,71.5204
18,182.6451611839957,1.3465783596038818,21.998700000000007,72.4893
19,178.63151497670054,0.8774048686027527,22.005100000000006,72.6204
20,173.4084794345169,0.8453668355941772,21.957200000000007,71.43719999999999
21,170.64102022118877,0.7321611046791077,21.95970000000001,71.4929
22,169.43608156106987,0.6020605564117432,21.953800000000005,71.36909999999999
23,167.41414578978828,0.46632859110832214,21.958400000000005,71.48039999999999
24,167.4247338139816,0.847822368144989,21.94750000000001,71.21039999999999
25,169.41207230100284,0.7764272689819336,21.95370000000001,71.3524
26,166.63395219390748,0.9477822780609131,21.946000000000005,71.15379999999999
27,174.64480297633034,0.8845752477645874,21.986500000000007,72.1687
28,173.40209763932688,0.8008898496627808,21.966100000000004,71.6543
29,174.63753174114953,0.9218611717224121,21.971900000000005,71.81779999999999
30,165.40841474473203,0.7175441384315491,21.944300000000013,71.1223
31,172.64882931677684,0.6872872114181519,21.962300000000006,71.5679
32,174.63022767458293,0.6457524299621582,21.974100000000007,71.8598
33,168.67268793284404,0.4533011019229889,21.957800000000006,71.48710000000001
34,165.41451551030886,0.6182253360748291,21.948900000000002,71.2397
35,167.4013437728687,0.34955695271492004,21.972600000000003,71.8103
36,168.63574600908032,0.5659968256950378,21.955500000000008,71.391
37,161.41802113374186,0.18128296732902527,21.944900000000008,71.14259999999999
38,176.68103966164753,0.6088898777961731,21.975300000000008,71.93820000000001
39,177.41718742195053,0.3449162244796753,21.972800000000007,71.8488
40,176.64731990342804,0.5704701542854309,21.973000000000006,71.8482
41,180.652049883678,0.5607702732086182,21.968500000000002,71.73150000000001
42,174.64542087346706,0.8784198760986328,21.973700000000008,71.8617
43,188.6475118338267,0.39209723472595215,22.00240000000001,72.5747
44,166.63285792355182,0.6810398697853088,21.940700000000007,71.0267
45,172.64185094838157,0.4459226131439209,21.968900000000005,71.7411
46,172.6368638918233,0.6443093419075012,21.97270000000001,71.8218
47,176.6429223129925,0.3198017477989197,21.962900000000005,71.5914
48,170.64195714164543,0.47014763951301575,21.984200000000005,72.1038
49,170.660570550221,0.497292160987854,21.957000000000008,71.46760000000002
50,174.644543893446,0.6024776697158813,21.97160000000001,71.80940000000001
51,165.40217319510862,0.307870090007782,21.944400000000005,71.12559999999999
52,165.40548718500253,0.5016234517097473,21.942600000000006,71.07839999999999
53,172.6364443744958,0.3270723819732666,21.952400000000008,71.3215
54,169.41689345864032,0.36308085918426514,21.958800000000007,71.4906
55,190.63859048110524,0.3594745993614197,22.00960000000001,72.75659999999999
